name,rank,count,pct
BOND,679,"50,610",0.000419
KANE,680,"50,584",0.000419
HANCOCK,681,"50,558",0.000418
CALLAHAN,682,"50,524",0.000418
DILLON,683,"50,465",0.000418
CLINE,684,"50,258",0.000416
WIGGINS,685,"50,247",0.000416
GRIMES,686,"50,245",0.000416
ARELLANO,687,"50,104",0.000415
MELTON,688,"50,069",0.000414
ONEILL,689,"50,028",0.000414
SAVAGE,690,"49,914",0.000413
HO,691,"49,817",0.000412
BELTRAN,692,"49,776",0.000412
PITTS,693,"49,740",0.000412
PARRISH,694,"49,733",0.000412
PONCE,695,"49,549",0.000410
RICH,696,"49,481",0.000409
BOOTH,697,"49,402",0.000409
KOCH,698,"49,395",0.000409
GOLDEN,699,"49,360",0.000408
WARE,700,"49,316",0.000408
BRENNAN,701,"49,238",0.000407
MCDOWELL,702,"49,217",0.000407
MARKS,703,"49,177",0.000407
CANTU,704,"49,126",0.000407
HUMPHREY,705,"49,056",0.000406
BAXTER,706,"49,033",0.000406
SAWYER,707,"49,028",0.000406
CLAY,708,"48,844",0.000404
TANNER,709,"48,813",0.000404
HUTCHINSON,710,"48,781",0.000404
KAUR,711,"48,753",0.000403
BERG,712,"48,746",0.000403
WILEY,713,"48,720",0.000403
GILMORE,714,"48,719",0.000403
RUSSO,715,"48,696",0.000403
VILLEGAS,716,"48,599",0.000402
HOBBS,717,"48,522",0.000402
KEITH,718,"48,487",0.000401
WILKERSON,719,"48,444",0.000401
AHMED,720,"48,319",0.000400
BEARD,721,"48,207",0.000399
MCCLAIN,722,"48,165",0.000399
MONTES,723,"48,142",0.000398
MATA,724,"48,120",0.000398
ROSARIO,725,"48,051",0.000398
VANG,726,"48,036",0.000397
WALTER,727,"48,024",0.000397
HENSON,728,"48,013",0.000397
ONEAL,729,"47,979",0.000397
MOSLEY,730,"47,963",0.000397
MCCLURE,731,"47,742",0.000395
BEASLEY,732,"47,693",0.000395
STEPHENSON,733,"47,641",0.000394
SNOW,734,"47,528",0.000393
HUERTA,735,"47,455",0.000393
PRESTON,736,"47,367",0.000392
VANCE,737,"47,324",0.000392
BARRY,738,"47,274",0.000391
JOHNS,739,"47,246",0.000391
EATON,740,"47,184",0.000390
BLACKWELL,741,"47,175",0.000390
DYER,742,"47,170",0.000390
PRINCE,743,"47,168",0.000390
MACDONALD,744,"46,717",0.000387
SOLOMON,745,"46,534",0.000385
GUEVARA,746,"46,454",0.000384
STAFFORD,747,"46,394",0.000384
ENGLISH,748,"46,393",0.000384
HURST,749,"46,244",0.000383
WOODARD,750,"46,240",0.000383
CORTES,751,"46,229",0.000383
SHANNON,752,"46,147",0.000382
KEMP,753,"46,146",0.000382
NOLAN,754,"46,054",0.000381
MCCULLOUGH,755,"45,852",0.000379
MERRITT,756,"45,594",0.000377
MURILLO,757,"45,558",0.000377
MOON,758,"45,528",0.000377
SALGADO,759,"45,469",0.000376
STRONG,760,"45,432",0.000376
KLINE,761,"45,390",0.000376
CORDOVA,762,"45,305",0.000375
BARAJAS,763,"45,153",0.000374
ROACH,764,"45,019",0.000373
ROSAS,765,"44,938",0.000372
WINTERS,766,"44,914",0.000372
JACOBSON,767,"44,808",0.000371
LESTER,768,"44,784",0.000371
KNOX,769,"44,742",0.000370
BULLOCK,770,"44,740",0.000370
KERR,771,"44,711",0.000370
LEACH,772,"44,581",0.000369
MEADOWS,773,"44,500",0.000368
ORR,774,"44,388",0.000367
